Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0-4años,126,135,144,155,165,170,175,179,182,184,188,223,109,177,147,220,225,230,236,244,87,124,115,100,122,189,181,157,191,140,141,143,144,131,128,100,97,75,123,90,76,72,81,74,89,77
Hombres,10-14años,139,151,164,178,191,196,205,213,220,229,227,239,252,266,281,274,283,292,302,313,116,128,132,137,136,218,219,203,224,194,199,157,153,150,166,129,102,79,58,46,41,33,42,36,46,41
Hombres,15-19años,143,156,171,186,202,205,217,226,235,245,254,267,281,298,315,317,330,345,361,380,137,136,147,162,155,248,258,260,268,267,232,169,166,170,198,147,110,87,49,39,36,28,36,30,39,35
Hombres,20-24años,395,427,464,505,549,570,605,637,668,701,716,758,804,855,905,939,979,1021,1073,1132,411,384,422,470,482,784,838,920,892,1009,770,555,546,583,693,443,344,283,185,155,94,69,93,76,99,94
Hombres,25-29años,219,235,254,275,296,320,337,353,370,389,404,430,460,494,528,536,563,591,624,660,235,224,243,260,295,549,585,670,638,762,666,515,513,545,624,426,363,310,251,216,119,85,116,94,124,125
Hombres,30-34años,82,88,95,102,110,118,124,129,134,140,152,161,171,184,197,204,216,229,244,261,91,91,97,101,124,251,263,304,289,348,335,281,285,300,331,244,230,201,191,164,101,70,94,76,100,106
Hombres,35-39años,36,38,41,44,47,50,52,54,56,58,63,66,70,75,80,86,91,96,102,110,40,41,44,44,58,118,123,143,137,164,165,148,152,157,167,132,136,121,131,113,74,51,67,54,69,74
Hombres,40-44años,18,19,21,23,24,25,27,27,28,29,31,33,35,37,39,42,44,47,49,53,20,21,22,22,30,62,64,74,72,86,83,80,83,85,87,74,81,74,87,75,53,37,48,38,48,53
Hombres,45-49años,11,12,13,14,15,15,16,16,17,17,18,19,20,21,23,24,26,27,28,30,11,12,13,12,18,37,37,43,42,50,46,46,49,49,50,44,51,47,60,51,39,27,35,28,35,40
Hombres,50-54años,7,7,8,9,9,10,10,11,11,11,12,12,13,14,15,16,16,17,18,19,7,8,8,8,12,24,24,27,27,31,27,29,30,30,30,28,34,32,41,35,29,21,26,21,26,30
Hombres,55-69años,5,5,5,6,6,6,7,7,7,8,8,8,9,10,10,10,11,12,12,13,5,6,6,5,8,16,16,18,18,21,16,18,19,19,18,18,23,21,27,23,21,15,19,16,19,22
Hombres,5-9años,3,3,4,4,4,4,4,5,5,5,6,6,6,6,6,8,8,8,8,8,4,4,4,4,4,13,13,12,13,11,13,11,11,11,11,21,17,13,12,9,13,11,14,12,15,13
Hombres,60-64años,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,2,3,3,3,4,8,8,9,9,10,7,8,8,8,7,8,10,10,12,10,10,8,9,8,9,11
Hombres,65-69años,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,3,6,6,6,6,7,4,5,6,6,5,5,7,7,8,6,7,5,6,5,6,7
Hombres,70-74años,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,2,4,4,4,4,5,3,4,4,4,3,4,5,5,5,4,5,4,4,4,4,5
