Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0-4años,9,9,13,18,25,38,45,48,66,81,101,98,132,123,89,106,97,90,91,95,105,110,117,123,131,131,133,129,117,98,74,69,81,110,153,200,240,262,270,262,120,106,78,77,76,75
Hombres,10-14años,2,3,4,6,9,15,18,20,20,19,25,22,20,20,19,32,32,33,32,32,51,51,52,55,59,78,80,78,69,58,48,44,48,59,78,94,112,121,127,127,56,51,39,39,39,39
Hombres,15-19años,2,3,4,7,11,16,20,23,23,21,26,22,20,18,17,25,24,23,23,23,37,38,39,41,42,60,60,57,52,44,38,35,37,46,60,80,98,108,109,103,56,46,30,30,30,29
Hombres,20-24años,6,7,12,20,31,25,31,36,36,35,44,40,35,34,32,39,38,37,38,40,46,49,53,56,60,65,66,64,58,48,65,60,63,79,103,122,150,169,171,162,68,57,38,38,38,38
Hombres,25-29años,6,8,12,20,30,41,51,58,59,58,51,47,43,42,41,39,40,41,43,45,53,57,62,67,73,76,79,78,72,62,76,71,76,94,122,146,178,198,202,195,116,100,70,71,72,73
Hombres,30-34años,5,6,9,14,22,32,39,45,46,44,45,42,38,38,37,42,43,45,47,51,66,72,79,86,93,108,113,112,106,93,103,99,111,137,178,184,223,246,252,243,97,84,61,61,62,62
Hombres,35-39años,3,4,6,9,14,19,23,26,27,26,31,29,26,26,25,34,34,36,37,40,55,60,66,72,79,92,97,97,94,84,95,94,107,131,170,190,232,259,272,267,106,94,69,69,68,68
Hombres,40-44años,3,4,6,9,13,17,21,24,24,23,24,22,20,19,19,23,23,24,25,26,38,41,44,48,53,65,69,69,68,63,75,75,85,103,133,158,193,215,228,227,87,79,60,60,61,61
Hombres,45-49años,2,2,3,5,8,11,14,15,15,15,15,14,12,12,11,14,14,14,14,15,22,23,25,27,30,39,41,41,40,37,45,45,52,62,79,110,135,151,162,163,74,68,52,53,54,55
Hombres,50-54años,1,1,2,3,5,7,9,10,10,10,13,12,11,10,10,14,14,14,14,15,18,19,20,21,23,27,28,28,27,25,27,27,31,36,45,71,87,98,107,110,48,45,36,36,37,38
Hombres,55-69años,1,1,2,3,5,5,6,7,7,7,7,6,6,6,6,6,7,7,7,7,10,10,10,11,12,16,17,17,16,14,20,20,23,27,33,55,66,73,81,84,52,50,40,42,43,44
Hombres,5-9años,1,1,1,2,2,3,4,4,4,4,3,3,3,3,3,2,2,3,3,3,6,6,7,7,8,13,13,13,11,9,13,11,11,15,20,32,39,43,45,45,21,19,15,15,14,14
Hombres,60-64años,0,1,1,1,2,2,2,3,3,3,4,4,4,4,4,5,6,6,6,6,7,7,8,8,9,10,10,10,9,8,9,9,10,11,14,27,32,35,38,40,20,19,16,16,17,17
Hombres,65-69años,0,0,1,1,1,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,5,5,5,6,6,8,8,8,7,6,10,10,11,12,15,15,18,19,21,22,15,15,12,12,13,13
Hombres,70-74años,0,0,0,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,4,4,5,8,9,10,11,12,10,10,8,8,8,9
Hombres,75-79años,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,6,7,8,8,9,1,1,1,1,1,1
Hombres,80+,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,4,5,5,5,5,0,0,0,0,0,0
Mujeres,0-4años,12,12,15,19,25,31,36,40,54,66,69,76,84,76,69,65,60,55,56,58,83,87,92,97,103,125,127,123,112,95,61,57,67,91,127,182,217,238,244,236,128,112,81,81,80,79
Mujeres,10-14años,4,5,6,8,11,15,18,20,21,21,30,29,29,30,32,50,52,55,54,54,69,68,69,72,76,88,90,88,81,71,53,49,53,65,86,124,147,160,165,162,75,66,48,48,47,47
Mujeres,15-19años,3,4,5,7,9,13,16,18,19,19,25,24,23,23,23,35,35,35,35,35,45,45,46,48,49,62,62,60,56,49,56,52,55,68,88,96,114,124,128,125,63,54,39,38,38,37
Mujeres,20-24años,7,7,10,14,19,21,26,30,32,32,28,27,27,26,26,26,26,26,27,28,37,39,41,43,46,54,55,54,50,43,45,41,44,55,71,90,107,118,120,116,60,50,35,35,35,35
Mujeres,25-29años,4,5,6,9,12,22,27,32,33,34,32,31,31,32,33,31,32,34,35,37,44,47,50,54,58,62,65,65,61,54,59,55,59,73,95,97,115,126,128,123,65,55,38,38,38,38
Mujeres,30-34años,3,4,5,6,9,13,16,18,19,20,21,21,21,22,23,25,27,28,30,31,50,53,57,60,64,87,90,89,86,79,72,69,77,95,124,126,149,163,168,164,58,50,36,36,36,36
Mujeres,35-39años,2,2,3,3,5,9,10,12,12,13,14,14,14,15,17,20,21,23,24,25,39,41,43,46,50,65,67,67,65,61,56,55,62,76,99,115,137,152,162,164,66,60,45,45,45,45
Mujeres,40-44años,1,1,2,2,2,4,5,5,6,6,10,10,10,11,11,18,19,20,21,22,28,30,31,34,36,42,44,45,44,42,38,37,43,52,67,87,103,114,122,126,66,61,47,48,48,48
Mujeres,45-49años,1,2,2,3,3,4,5,5,6,6,6,6,6,6,6,8,8,8,8,9,13,13,14,15,16,21,22,22,22,21,21,21,25,30,38,56,66,73,80,82,41,38,30,30,31,31
Mujeres,50-54años,1,1,2,2,2,3,3,4,4,4,5,5,5,5,5,7,7,7,7,7,11,11,12,13,14,18,19,19,19,18,16,16,19,22,27,41,48,53,58,61,31,30,23,24,24,25
Mujeres,55-69años,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,8,8,8,9,9,13,13,13,13,12,13,13,15,18,22,34,39,43,47,49,17,16,13,13,14,14
Mujeres,5-9años,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,8,9,9,10,10,16,17,17,15,13,11,10,10,13,18,27,32,35,36,35,24,20,15,14,14,14
Mujeres,60-64años,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,7,7,7,7,8,10,10,10,10,9,8,8,9,10,12,20,23,25,27,28,16,15,12,12,12,13
Mujeres,65-69años,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,8,7,9,9,10,11,13,15,17,18,20,21,10,9,7,7,7,8
Mujeres,70-74años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,3,4,4,4,4,5,8,9,10,11,11,4,3,2,3,3,3
Mujeres,75-79años,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,5,5,5,5,4,2,2,2,3,3,5,5,6,6,6,1,1,1,1,1,1
Mujeres,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,4,1,1,1,1,1,1
