Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombre,0,5064,5201,5333,5449,5547,5626,5679,5713,5749,5790,5823,5834,5836,5837,5837,5836,5832,5827,5822,5812,5838,5909,5975,6031,6075,6102,6113,6121,6130,6140,6128,6095,6063,6038,6020,5997,6021,6103,6192,6285,6360,6447,6562,6670,6774,6868
Hombre,1,4836,4982,5127,5265,5387,5491,5576,5635,5677,5724,5762,5780,5790,5802,5811,5817,5821,5822,5822,5820,5843,5897,5960,6020,6066,6100,6119,6125,6128,6132,6112,6069,6035,6007,5986,5974,6008,6088,6166,6251,6323,6406,6518,6630,6737,6841
Hombre,2,4702,4851,5001,5149,5289,5415,5523,5612,5674,5720,5757,5774,5783,5796,5809,5820,5827,5832,5836,5839,5865,5907,5951,6010,6063,6102,6132,6148,6147,6144,6120,6070,6027,5995,5970,5956,6000,6089,6165,6239,6305,6387,6494,6601,6709,6814
Hombre,3,4581,4729,4882,5033,5182,5324,5452,5561,5651,5715,5751,5767,5775,5786,5800,5815,5827,5836,5843,5848,5874,5916,5950,5991,6045,6093,6130,6160,6170,6164,6134,6082,6033,5992,5964,5944,5985,6083,6169,6240,6297,6373,6478,6578,6680,6784
Hombre,4,4464,4607,4758,4911,5064,5214,5358,5486,5596,5687,5741,5757,5765,5775,5787,5803,5819,5832,5843,5852,5877,5916,5951,5982,6019,6068,6117,6156,6180,6186,6156,6101,6049,6002,5965,5941,5975,6067,6162,6244,6299,6366,6464,6561,6654,6750
Hombre,5,4351,4489,4634,4785,4938,5091,5243,5387,5516,5626,5707,5742,5750,5759,5771,5786,5803,5821,5836,5849,5874,5909,5942,5975,6003,6037,6089,6140,6175,6196,6180,6126,6072,6023,5978,5943,5970,6053,6143,6235,6302,6367,6453,6542,6633,6720
Hombre,6,4238,4373,4513,4657,4808,4963,5116,5267,5411,5540,5641,5705,5733,5743,5755,5768,5784,5804,5824,5841,5867,5901,5931,5962,5992,6017,6054,6109,6157,6189,6190,6152,6101,6048,6000,5957,5972,6046,6127,6214,6292,6369,6451,6529,6611,6694
Hombre,7,4124,4257,4393,4532,4677,4828,4983,5136,5287,5431,5552,5637,5695,5724,5736,5750,5766,5784,5805,5826,5855,5888,5917,5945,5974,6002,6032,6073,6125,6172,6185,6165,6129,6079,6027,5981,5985,6045,6117,6197,6271,6358,6451,6525,6594,6668
Hombre,8,4007,4139,4273,4408,4547,4692,4843,4998,5151,5301,5438,5544,5624,5683,5715,5729,5745,5763,5783,5806,5837,5870,5899,5927,5953,5981,6014,6049,6088,6140,6168,6163,6146,6111,6062,6012,6010,6057,6116,6187,6254,6335,6436,6520,6585,6647
Hombre,9,3885,4018,4151,4284,4419,4558,4703,4854,5008,5160,5304,5428,5529,5611,5672,5705,5721,5739,5759,5781,5812,5846,5876,5904,5931,5957,5990,6028,6062,6102,6136,6148,6146,6131,6097,6049,6042,6081,6129,6186,6245,6317,6410,6502,6577,6633
Hombre,10,3755,3891,4025,4157,4290,4426,4565,4709,4860,5013,5160,5294,5413,5515,5598,5661,5696,5714,5733,5754,5782,5816,5848,5878,5906,5934,5966,6005,6043,6077,6100,6119,6136,6136,6122,6090,6083,6115,6155,6202,6247,6308,6389,6473,6556,6621
Hombre,11,3617,3756,3893,4026,4158,4291,4427,4566,4710,4860,5008,5146,5275,5396,5500,5584,5648,5685,5705,5726,5753,5784,5816,5848,5878,5907,5940,5979,6019,6058,6077,6087,6111,6129,6130,6118,6126,6157,6190,6231,6264,6309,6377,6449,6523,6597
Hombre,12,3473,3615,3755,3891,4024,4157,4290,4425,4564,4708,4853,4994,5128,5258,5379,5484,5570,5636,5675,5696,5721,5749,5779,5811,5843,5875,5911,5952,5992,6034,6059,6064,6078,6104,6124,6127,6153,6198,6231,6266,6293,6324,6373,6432,6495,6561
Hombre,13,3324,3467,3610,3750,3885,4019,4151,4285,4420,4558,4698,4837,4974,5108,5239,5361,5467,5554,5621,5660,5684,5711,5738,5767,5799,5834,5873,5917,5959,6002,6030,6042,6053,6070,6098,6120,6161,6225,6273,6308,6329,6350,6383,6424,6475,6529
Hombre,14,3170,3312,3455,3597,3736,3872,4005,4137,4270,4405,4539,4672,4807,4944,5078,5209,5331,5438,5525,5592,5633,5658,5682,5708,5737,5770,5813,5861,5907,5954,5985,6003,6024,6038,6056,6086,6147,6228,6297,6350,6371,6383,6405,6430,6463,6506
Hombre,15,3010,3146,3287,3429,3570,3708,3843,3976,4108,4239,4369,4497,4626,4759,4894,5027,5156,5278,5383,5469,5536,5576,5598,5619,5644,5675,5717,5770,5820,5869,5907,5934,5965,5989,6004,6025,6097,6201,6293,6372,6410,6420,6432,6447,6466,6492
Hombre,16,2842,2975,3111,3250,3389,3529,3666,3800,3931,4061,4187,4310,4432,4558,4688,4820,4950,5078,5197,5300,5384,5449,5486,5501,5520,5548,5588,5642,5696,5749,5790,5829,5873,5907,5930,5947,6014,6135,6258,6366,6429,6454,6463,6469,6479,6491
Hombre,17,2678,2803,2934,3066,3202,3340,3478,3613,3746,3875,3999,4118,4235,4353,4475,4601,4730,4857,4981,5096,5196,5279,5341,5369,5382,5404,5439,5489,5542,5598,5640,5687,5747,5795,5826,5850,5917,6038,6185,6329,6421,6469,6493,6497,6499,6504
Hombre,18,2517,2635,2758,2886,3016,3150,3286,3422,3556,3685,3809,3926,4040,4153,4267,4386,4509,4634,4757,4877,4988,5087,5167,5218,5243,5258,5287,5332,5381,5434,5474,5522,5594,5657,5699,5729,5806,5932,6083,6254,6382,6457,6506,6526,6527,6525
Hombre,19,2362,2477,2592,2712,2838,2967,3099,3234,3369,3499,3624,3741,3852,3962,4071,4182,4297,4417,4539,4658,4773,4885,4982,5051,5099,5124,5146,5183,5226,5274,5307,5350,5424,5497,5553,5594,5679,5816,5974,6151,6305,6415,6491,6537,6556,6555
Hombre,20,2233,2325,2439,2552,2670,2795,2922,3054,3187,3318,3445,3563,3675,3784,3890,3996,4104,4217,4334,4452,4568,4684,4794,4881,4947,4992,5024,5054,5091,5132,5154,5187,5255,5331,5397,5451,5544,5690,5859,6043,6201,6336,6448,6522,6568,6585
Hombre,21,2124,2200,2291,2403,2515,2633,2757,2884,3014,3145,3273,3393,3507,3616,3721,3825,3929,4035,4145,4259,4374,4490,4605,4707,4790,4852,4906,4947,4976,5009,5022,5043,5099,5169,5238,5301,5407,5560,5736,5930,6093,6231,6369,6480,6555,6601
Hombre,22,2015,2094,2170,2260,2371,2483,2600,2724,2850,2979,3106,3228,3345,3457,3564,3667,3769,3872,3976,4084,4195,4309,4425,4534,4632,4711,4782,4846,4886,4912,4916,4924,4964,5022,5086,5151,5264,5428,5610,5808,5979,6121,6263,6400,6514,6591
Hombre,23,1914,1988,2067,2142,2232,2343,2455,2573,2696,2820,2946,3069,3188,3302,3412,3518,3620,3722,3823,3926,4031,4142,4256,4366,4471,4564,4654,4737,4799,4836,4832,4828,4854,4896,4949,5011,5124,5293,5481,5683,5856,6006,6153,6296,6438,6554
Hombre,24,1823,1892,1965,2044,2120,2210,2321,2433,2551,2673,2794,2916,3036,3153,3267,3376,3481,3583,3684,3785,3885,3988,4098,4209,4316,4416,4522,4624,4705,4763,4770,4757,4768,4795,4834,4885,4992,5160,5351,5557,5732,5883,6039,6188,6336,6480
Hombre,25,1740,1804,1873,1946,2025,2101,2192,2304,2416,2533,2652,2771,2890,3009,3126,3239,3348,3453,3554,3655,3752,3850,3954,4061,4168,4271,4384,4503,4604,4682,4712,4707,4706,4718,4742,4779,4875,5034,5220,5426,5604,5758,5917,6075,6228,6379
Hombre,26,1662,1722,1786,1855,1929,2008,2086,2177,2289,2401,2516,2633,2749,2868,2987,3104,3217,3326,3431,3533,3630,3725,3823,3925,4029,4132,4249,4377,4494,4592,4642,4658,4663,4663,4673,4697,4777,4923,5098,5297,5473,5630,5791,5953,6116,6273
Hombre,27,1590,1647,1708,1772,1841,1916,1997,2075,2166,2278,2388,2501,2617,2733,2852,2971,3088,3202,3312,3417,3515,3609,3704,3801,3900,4001,4120,4251,4378,4493,4564,4598,4622,4627,4626,4636,4702,4831,4989,5174,5342,5498,5664,5828,5994,6161
Hombre,28,1527,1577,1634,1695,1760,1831,1907,1988,2067,2158,2269,2377,2489,2605,2722,2841,2961,3080,3194,3304,3406,3500,3594,3689,3784,3880,3996,4130,4261,4386,4475,4529,4568,4592,4597,4595,4647,4760,4898,5064,5218,5367,5533,5701,5870,6039
Hombre,29,1467,1515,1566,1624,1686,1752,1824,1900,1982,2061,2152,2261,2370,2482,2598,2716,2837,2957,3076,3192,3298,3395,3490,3584,3678,3771,3883,4015,4148,4277,4376,4446,4504,4544,4567,4572,4612,4708,4828,4972,5107,5242,5401,5568,5740,5911
Hombre,30,1409,1460,1509,1560,1618,1682,1749,1821,1898,1980,2059,2149,2257,2366,2479,2597,2715,2837,2959,3079,3190,3291,3389,3484,3577,3669,3777,3905,4037,4169,4273,4353,4426,4484,4523,4547,4592,4675,4777,4900,5013,5130,5275,5434,5605,5779
Hombre,31,1353,1402,1453,1503,1555,1615,1679,1747,1820,1897,1979,2056,2146,2256,2366,2480,2598,2718,2841,2965,3080,3187,3289,3388,3482,3574,3682,3805,3933,4063,4171,4255,4337,4410,4468,4508,4571,4658,4744,4847,4939,5034,5161,5307,5470,5641
Hombre,32,1303,1349,1399,1450,1500,1553,1614,1679,1748,1820,1897,1978,2056,2147,2257,2368,2483,2603,2725,2849,2967,3078,3186,3290,3388,3482,3590,3712,3836,3963,4070,4157,4243,4325,4398,4456,4534,4638,4726,4812,4884,4960,5065,5191,5339,5500
Hombre,33,1257,1299,1346,1396,1448,1499,1553,1615,1680,1748,1821,1898,1979,2058,2149,2261,2373,2489,2611,2733,2853,2967,3080,3189,3293,3391,3500,3622,3745,3869,3973,4059,4147,4232,4314,4388,4483,4601,4705,4792,4848,4905,4989,5092,5218,5363
Hombre,34,1215,1255,1299,1346,1396,1449,1501,1555,1617,1682,1750,1823,1900,1982,2061,2154,2266,2379,2497,2619,2737,2853,2969,3083,3193,3297,3411,3535,3658,3781,3882,3964,4050,4138,4223,4306,4416,4549,4666,4768,4827,4867,4932,5013,5115,5239
Hombre,35,1178,1215,1255,1299,1346,1398,1451,1502,1557,1618,1683,1752,1825,1902,1985,2066,2159,2273,2387,2505,2624,2739,2856,2974,3089,3199,3318,3446,3571,3695,3795,3873,3955,4041,4129,4215,4333,4479,4611,4726,4801,4845,4892,4953,5032,5131
Hombre,36,1147,1181,1217,1257,1301,1349,1401,1454,1505,1559,1620,1686,1755,1828,1907,1990,2071,2166,2280,2395,2510,2626,2742,2861,2979,3095,3220,3353,3483,3609,3710,3787,3866,3947,4034,4123,4243,4394,4538,4668,4757,4817,4867,4910,4968,5043
Hombre,37,1118,1149,1183,1220,1260,1303,1351,1403,1456,1507,1560,1622,1688,1757,1832,1911,1995,2077,2172,2288,2399,2511,2628,2746,2867,2987,3116,3254,3389,3521,3624,3702,3779,3857,3940,4028,4149,4300,4451,4593,4698,4773,4838,4882,4922,4975
Hombre,38,1091,1121,1152,1186,1222,1262,1306,1353,1404,1456,1507,1561,1624,1691,1761,1836,1916,2001,2083,2179,2292,2401,2515,2633,2753,2874,3007,3150,3291,3428,3536,3615,3693,3770,3850,3935,4052,4203,4353,4501,4620,4711,4789,4849,4889,4923
Hombre,39,1065,1095,1124,1155,1188,1224,1264,1307,1354,1404,1456,1508,1564,1627,1694,1765,1840,1921,2006,2089,2183,2293,2403,2519,2638,2758,2892,3038,3184,3328,3441,3525,3605,3684,3763,3845,3957,4103,4253,4401,4526,4631,4725,4797,4852,4886
