Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,0,4997,5131,5270,5395,5502,5591,5661,5696,5730,5768,5812,5834,5834,5837,5837,5837,5834,5829,5824,5820,5803,5872,5945,6004,6057,6093,6110,6116,6126,6134,6146,6110,6079,6047,6028,6011,5983,6058,6147,6236,6333,6387,6507,6617,6723,6825,6910
Hombres,1,4762,4909,5055,5199,5330,5443,5538,5614,5655,5699,5748,5776,5783,5796,5807,5814,5820,5821,5822,5822,5818,5868,5926,5993,6047,6085,6115,6123,6127,6128,6135,6088,6050,6020,5993,5979,5969,6047,6128,6204,6297,6349,6462,6574,6686,6788,6894
Hombres,2,4628,4775,4927,5075,5222,5356,5474,5572,5651,5696,5743,5770,5777,5789,5803,5815,5824,5830,5834,5837,5840,5889,5924,5978,6042,6084,6119,6145,6151,6143,6145,6094,6046,6008,5981,5959,5952,6048,6130,6199,6278,6332,6442,6546,6656,6762,6865
Hombres,3,4509,4652,4805,4958,5107,5256,5392,5511,5610,5691,5738,5763,5770,5780,5792,5808,5822,5831,5840,5846,5850,5898,5934,5965,6017,6072,6113,6147,6172,6167,6161,6107,6057,6009,5975,5952,5936,6033,6133,6205,6275,6318,6428,6528,6628,6731,6836
Hombres,4,4395,4533,4681,4834,4988,5139,5289,5426,5546,5646,5728,5753,5760,5769,5780,5794,5811,5826,5838,5848,5855,5898,5934,5967,5997,6041,6095,6139,6172,6187,6184,6127,6074,6024,5980,5949,5932,6017,6116,6207,6280,6317,6414,6513,6608,6700,6800
Hombres,5,4284,4418,4560,4708,4861,5015,5167,5318,5455,5576,5676,5738,5746,5754,5764,5778,5793,5812,5829,5843,5854,5893,5925,5959,5991,6015,6059,6118,6162,6187,6205,6154,6098,6046,5999,5956,5930,6010,6096,6189,6280,6323,6410,6495,6589,6676,6763
Hombres,6,4172,4304,4442,4583,4731,4885,5040,5192,5342,5480,5600,5682,5728,5738,5748,5761,5775,5793,5814,5833,5848,5886,5916,5945,5978,6005,6029,6079,6138,6175,6203,6176,6128,6073,6023,5976,5938,6005,6086,6168,6260,6324,6413,6489,6569,6653,6734
Hombres,7,4059,4189,4324,4461,4603,4751,4905,5060,5212,5362,5500,5603,5671,5718,5730,5742,5757,5774,5794,5816,5836,5873,5903,5931,5959,5988,6016,6047,6098,6151,6192,6177,6153,6105,6052,6002,5959,6011,6078,6156,6237,6304,6411,6490,6559,6629,6707
Hombres,8,3941,4072,4205,4340,4476,4618,4766,4920,5075,5226,5376,5499,5589,5658,5707,5722,5736,5753,5772,5794,5818,5855,5885,5913,5940,5966,5996,6032,6065,6111,6168,6168,6158,6134,6088,6035,5988,6031,6083,6148,6225,6282,6388,6484,6555,6615,6678
Hombres,9,3818,3952,4084,4217,4351,4487,4629,4777,4930,5085,5235,5372,5483,5575,5646,5697,5713,5729,5748,5769,5793,5830,5862,5890,5918,5943,5971,6009,6047,6076,6127,6145,6151,6141,6120,6074,6024,6059,6103,6154,6218,6272,6362,6457,6546,6607,6658
Hombres,10,3686,3823,3958,4091,4223,4357,4494,4635,4783,4936,5090,5230,5357,5469,5561,5634,5687,5704,5723,5743,5765,5799,5832,5864,5892,5920,5947,5984,6025,6060,6093,6106,6132,6139,6132,6111,6069,6097,6133,6177,6226,6267,6349,6429,6516,6595,6647
Hombres,11,3547,3687,3825,3960,4092,4224,4358,4495,4636,4783,4936,5080,5211,5339,5452,5547,5621,5675,5695,5715,5737,5768,5799,5832,5863,5892,5921,5959,5999,6038,6078,6076,6097,6124,6133,6126,6109,6142,6171,6209,6252,6276,6341,6413,6485,6561,6632
Hombres,12,3402,3544,3686,3824,3958,4090,4223,4356,4493,4634,4781,4925,5062,5193,5322,5436,5532,5608,5664,5685,5706,5735,5763,5794,5827,5859,5890,5931,5973,6011,6056,6061,6066,6089,6119,6128,6125,6180,6215,6247,6285,6301,6346,6400,6464,6526,6595
Hombres,13,3253,3395,3539,3681,3818,3952,4085,4217,4352,4488,4628,4768,4905,5042,5174,5303,5418,5515,5592,5649,5671,5697,5724,5752,5782,5816,5851,5894,5939,5979,6024,6035,6049,6057,6083,6113,6127,6195,6254,6291,6324,6333,6366,6400,6447,6502,6556
Hombres,14,3100,3240,3383,3526,3667,3804,3939,4071,4203,4337,4472,4605,4738,4875,5012,5144,5273,5389,5486,5563,5620,5646,5669,5695,5721,5752,5788,5837,5885,5929,5978,5991,6015,6032,6043,6068,6104,6190,6265,6329,6370,6371,6394,6416,6444,6482,6530
Hombres,15,2943,3076,3216,3358,3500,3639,3776,3910,4042,4173,4305,4433,4560,4691,4826,4961,5092,5220,5335,5431,5507,5565,5587,5608,5629,5658,5691,5742,5797,5842,5896,5917,5951,5978,5999,6008,6041,6152,6249,6337,6407,6413,6426,6438,6456,6475,6508
Hombres,16,2776,2908,3042,3180,3319,3459,3598,3733,3866,3996,4125,4249,4370,4494,4622,4754,4886,5014,5141,5253,5346,5421,5477,5494,5507,5533,5563,5613,5670,5721,5776,5804,5854,5892,5922,5937,5956,6071,6198,6318,6413,6445,6462,6464,6474,6483,6499
Hombres,17,2619,2737,2868,2999,3133,3271,3409,3546,3680,3811,3938,4059,4176,4293,4413,4537,4665,4794,4920,5042,5150,5241,5316,5365,5372,5392,5416,5462,5515,5569,5626,5654,5719,5775,5815,5836,5863,5970,6106,6264,6393,6448,6490,6496,6498,6500,6507
Hombres,18,2458,2576,2693,2822,2950,3082,3218,3354,3490,3621,3749,3869,3983,4096,4209,4325,4446,4571,4696,4818,4935,5040,5134,5200,5236,5250,5266,5308,5355,5407,5461,5486,5558,5629,5685,5712,5746,5866,5997,6169,6339,6424,6489,6522,6530,6524,6525
Hombres,19,2305,2418,2535,2649,2775,2901,3032,3166,3302,3435,3563,3684,3797,3907,4016,4126,4238,4356,4478,4600,4716,4830,4939,5024,5078,5119,5128,5163,5202,5250,5298,5315,5385,5462,5532,5574,5614,5743,5889,6059,6243,6366,6463,6519,6555,6557,6553
Hombres,20,2197,2269,2381,2496,2608,2732,2857,2987,3120,3253,3383,3506,3620,3730,3837,3943,4049,4159,4274,4393,4511,4624,4743,4844,4918,4975,5009,5039,5069,5112,5151,5156,5217,5293,5368,5425,5476,5612,5767,5951,6134,6268,6404,6491,6552,6583,6587
Hombres,21,2083,2164,2236,2346,2459,2571,2695,2819,2948,3080,3210,3335,3451,3562,3669,3773,3877,3981,4089,4201,4317,4431,4548,4661,4753,4827,4877,4935,4959,4993,5025,5019,5066,5132,5206,5269,5333,5480,5640,5831,6028,6157,6305,6432,6527,6583,6619
Hombres,22,1976,2053,2134,2205,2314,2427,2538,2662,2786,2914,3043,3168,3288,3402,3511,3616,3718,3820,3923,4029,4139,4250,4368,4481,4586,4677,4744,4820,4872,4900,4923,4908,4939,4989,5054,5117,5185,5343,5513,5706,5909,6048,6193,6332,6468,6560,6621
Hombres,23,1879,1949,2026,2107,2177,2286,2399,2511,2634,2757,2883,3008,3129,3246,3358,3466,3569,3671,3772,3874,3978,4084,4199,4313,4419,4522,4606,4702,4771,4827,4844,4820,4836,4871,4921,4977,5044,5203,5382,5580,5785,5927,6084,6221,6371,6505,6603
Hombres,24,1790,1856,1927,2003,2084,2155,2264,2377,2489,2612,2733,2855,2976,3095,3211,3323,3429,3532,3633,3734,3835,3934,4042,4154,4264,4367,4464,4579,4668,4741,4785,4755,4758,4778,4812,4855,4914,5070,5249,5452,5661,5802,5964,6114,6261,6410,6550
