Sexo,edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0,0.085802,0.078009,0.07523,0.07322,0.071556,0.070188,0.068782,0.067029,0.06427,0.060984,0.0573,0.05328,0.049072,0.046145,0.043463,0.041145,0.039115,0.037295,0.035654,0.036554,0.034992,0.031476,0.030449,0.029282,0.028317,0.027463,0.026551,0.025527,0.024464,0.023361,0.022214,0.021014,0.019782,0.018782,0.018015,0.017386,0.016822,0.016315,0.015821,0.015368,0.014959,0.014552,0.014099,0.01359,0.013099,0.012815
Hombres,1,0.017225,0.01536,0.014306,0.013323,0.012282,0.011225,0.010146,0.009157,0.008216,0.007344,0.006586,0.005903,0.005283,0.0049,0.004511,0.004252,0.004042,0.003791,0.003567,0.003286,0.00309,0.002899,0.002749,0.002554,0.002348,0.00214,0.001956,0.001814,0.001721,0.001649,0.001587,0.001534,0.001473,0.001419,0.001374,0.001332,0.001296,0.00126,0.001226,0.001196,0.001173,0.001159,0.001153,0.001131,0.001114,0.001105
Hombres,2,0.008968,0.007542,0.007152,0.006755,0.006259,0.005688,0.005094,0.004547,0.004054,0.003598,0.003204,0.002863,0.002569,0.002375,0.002197,0.002079,0.001993,0.001888,0.001784,0.001654,0.001548,0.001442,0.001352,0.001247,0.001144,0.001046,0.000965,0.0009,0.000847,0.000799,0.000753,0.000714,0.000677,0.000649,0.00063,0.000617,0.000608,0.000598,0.000587,0.000573,0.000559,0.000543,0.000526,0.000512,0.000497,0.000479
Hombres,3,0.005792,0.004683,0.00452,0.00433,0.00404,0.003669,0.003278,0.002916,0.002599,0.002304,0.002049,0.001832,0.001652,0.001527,0.001421,0.001349,0.001301,0.001243,0.00118,0.001103,0.001031,0.000957,0.000893,0.000823,0.000757,0.000698,0.00065,0.00061,0.000574,0.000538,0.000503,0.000471,0.000443,0.000425,0.000415,0.000409,0.000406,0.000403,0.000397,0.000389,0.000378,0.000365,0.000347,0.000337,0.000325,0.00031
Hombres,4,0.004358,0.003519,0.003461,0.00337,0.00316,0.002856,0.00257,0.002288,0.002022,0.001804,0.001618,0.001439,0.001297,0.001187,0.001105,0.001063,0.001018,0.000981,0.000949,0.000894,0.000834,0.000772,0.000722,0.000669,0.000623,0.000585,0.000548,0.000516,0.000486,0.00045,0.000413,0.000385,0.000367,0.000354,0.000344,0.000343,0.000339,0.000339,0.00034,0.000337,0.00033,0.000316,0.000298,0.000289,0.000281,0.000272
Hombres,5,0.002936,0.002458,0.002546,0.00259,0.002468,0.002208,0.001986,0.001754,0.001531,0.001371,0.001241,0.001102,0.000997,0.000903,0.000846,0.000826,0.000787,0.000767,0.000758,0.000722,0.000674,0.000619,0.00058,0.000543,0.000511,0.00049,0.000461,0.000436,0.000412,0.00038,0.000344,0.000323,0.000314,0.000308,0.000297,0.000299,0.00029,0.00029,0.000294,0.000295,0.000289,0.000273,0.000252,0.000245,0.00024,0.000236
Hombres,6,0.00251,0.002033,0.0021,0.00213,0.002033,0.001831,0.001661,0.001481,0.001305,0.001177,0.001071,0.000954,0.000867,0.000788,0.00074,0.000724,0.000691,0.000675,0.000669,0.000639,0.000598,0.000552,0.000518,0.000488,0.000462,0.000446,0.000423,0.000403,0.000383,0.000354,0.000323,0.000304,0.000296,0.000291,0.00028,0.000282,0.000274,0.000274,0.000278,0.000279,0.000275,0.00026,0.000242,0.000236,0.000232,0.00023
Hombres,7,0.002218,0.001754,0.001807,0.00183,0.00175,0.001588,0.001454,0.001308,0.001163,0.001057,0.000968,0.000867,0.000791,0.000721,0.000677,0.000664,0.000634,0.000621,0.000617,0.000591,0.000555,0.000514,0.000485,0.000459,0.000437,0.000425,0.000407,0.000389,0.000372,0.000345,0.000316,0.000298,0.00029,0.000286,0.000276,0.000277,0.000269,0.00027,0.000274,0.000276,0.000273,0.000259,0.000242,0.000237,0.000233,0.000232
Hombres,8,0.00202,0.001565,0.00161,0.00163,0.001565,0.00143,0.001321,0.001201,0.001076,0.000986,0.000909,0.000819,0.00075,0.000685,0.000646,0.000632,0.000606,0.000593,0.00059,0.000566,0.000533,0.000496,0.00047,0.000447,0.000429,0.00042,0.000404,0.000388,0.000372,0.000347,0.000319,0.000301,0.000295,0.00029,0.000279,0.00028,0.000273,0.000274,0.000279,0.000281,0.000279,0.000266,0.00025,0.000244,0.000242,0.000242
Hombres,9,0.001893,0.001442,0.001484,0.001504,0.001449,0.001335,0.001245,0.001142,0.001032,0.000953,0.000885,0.000801,0.000737,0.000677,0.000638,0.000625,0.000598,0.000586,0.000584,0.000562,0.000531,0.000496,0.000472,0.000451,0.000435,0.000429,0.000413,0.000399,0.000384,0.000359,0.000331,0.000314,0.000307,0.000302,0.000291,0.000293,0.000286,0.000287,0.000293,0.000295,0.000294,0.000281,0.000266,0.00026,0.000258,0.000259
